Title,met_start,met_end,Audio Files,Transcript Files,Start_Hour,Start_Minutes,Start_Seconds,End_Hour,End_Minutes,End_Seconds,Details
Description,,,,,,,,,,,Landing and recovery of Lunar module from water 
,,,,,,,,,,,
Landing Sequence,694923000,696720000,A11_HR1U_CH10_00694917000.wav,A11_HR1U_CH10_00694917000.txt,193,2,3,193,3,12,Step by step procedure to begin safe splashdown 
,,,,,,,,,,,
Splashdown, 697295000, 703110000,A11_HR1U_CH10_00702216000.wav,A11_HR1U_CH10_00702216000.txt,195,9,45,195,11,18,Landing and recovery of Lunar module from water
